"","logFC","AveExpr","t","P.Value","adj.P.Val","B","pval"
"214913_at",-2.02674384474075,4.6603129669821,-3.51931541037601,0.00239765086696883,0.0500251444463168,-1.46696094544179,0.000759825078920732
"209692_at",1.47716236326662,6.52832690496298,3.49834209146431,0.00251279950342745,0.0512852527632446,-1.51026523069736,0.00908988476002355
"204988_at",-1.14375661265234,5.26504716985957,3.45562009033571,0.00276453268973975,0.0538482600461928,-1.59835604012427,0.00190297714455383
"218481_at",-1.25694998773825,6.90398952650237,3.45497130969807,0.00276854152784145,0.0538482600461928,-1.59969250784042,0.00500272025851761
"201446_s_at",-1.72076064757755,7.82500543826099,3.43524472865515,0.00289321171047815,0.0549404799977354,-1.64030937728084,0.000494240917336822
"212602_at",1.44901925945146,6.96164640260995,3.42969988861803,0.00292924152483895,0.0553317967736123,-1.65171931540473,0.0187730267813928
"206682_at",1.38300850897079,5.68244746007611,-3.40923416037902,0.00306609936933662,0.0561368595280396,-1.69380599073438,0.000619253742551608
"206228_at",1.46473258632072,6.73682145329647,3.40897580233923,0.00306786675050198,0.0561368595280396,-1.69433701537423,0.00119407484485486
"207060_at",1.5860362105292,5.40315070250089,3.40888779709559,0.00306846900799498,0.0561368595280396,-1.69451789824068,0.000796481599349991
"208832_at",1.61930107815544,7.32193117428462,3.37528332425478,0.00330716717342768,0.0581638564526353,-1.76352704105302,0.00291664782908965
"222087_at",-1.3787258281471,5.92194389706675,3.37380555703788,0.00331807377226926,0.058172020352066,-1.76655891382685,0.00444547573694129
"211587_x_at",-1.50373591865733,7.65585009711313,3.3499683089907,0.00349897619298409,0.059375061393959,-1.8154306279034,0.00256288864986929
"217216_x_at",-1.34432928751511,5.8895325555867,3.34658544692881,0.00352542331176331,0.0594861332499325,-1.82236094660212,0.000152342200195201
"210982_s_at",-1.07467222964162,9.06228424011696,-3.33411034905955,0.00362466412436364,0.0602672129781257,-1.8479064336676,0.0124896468163886
"203035_s_at",2.42669336912556,6.57548434322926,3.31838762948985,0.00375366078104613,0.0611083440813232,-1.8800754262487,0.000772251333643298
"206048_at",-1.29150757644412,4.39125223483143,3.3179812718003,0.00375705387027837,0.0611083440813232,-1.88090644031843,0.0231383214522097
"213819_s_at",-1.35292477418267,5.49837760616609,3.31749317235415,0.00376113348916632,0.0611300784384341,-1.88190459178656,0.0190981679663879
"210819_x_at",-1.10153536813214,5.33173884399471,3.30938281000663,0.0038295619490444,0.0615242457898749,-1.89848574471221,0.00602635125420651
"203562_at",-1.28074538790169,7.52568008618998,-3.30553162378575,0.00386248196520038,0.0617410889969834,-1.90635637728129,0.000498372769837887
"212921_at",1.75711834845701,5.32945525874615,3.27532801659691,0.00413048299867808,0.0633444959804154,-1.96801709419122,0.00427562499422617
"202647_s_at",1.61402571757449,5.56839955366116,3.27247032212874,0.00415676538547195,0.0637037160140794,-1.97384487957536,0.00608167843738103
"219959_at",-1.25096217201798,4.8437957183617,3.25513389522922,0.00431976235415559,0.0648141624529329,-2.0091759446145,0.00382853401816602
"209754_s_at",1.18227484448136,4.73273673152294,3.24555982375105,0.00441244729400395,0.0655620158150222,-2.02866988910262,0.0126992779100181
"202846_s_at",-1.45645824091151,7.55740483352334,3.2110238546394,0.00476326118170298,0.0678916425468845,-2.09888098968567,0.000524925227682027
"219313_at",-2.02887484680033,5.25816899496865,3.21062380145049,0.00476748080474837,0.0678916425468845,-2.09969327476882,0.000121166745306618
"214814_at",-1.82835840008322,4.29143321132492,3.21048655068194,0.00476892932132413,0.0678916425468845,-2.0999719491254,0.000468337705012889
"204584_at",-1.35654110510418,5.21268556505002,-3.17274306529363,0.00518404812538266,0.0703914083669563,-2.17649829837444,0.00141105837398225
"211975_at",-1.24300024008287,7.96702678846222,3.14197092909623,0.00554844778188936,0.0724855296936206,-2.23872478546533,0.00218146656389892
"201937_s_at",-1.31364882792702,7.08132458023477,3.12913392249137,0.00570774847164436,0.0737736422236957,-2.26463771193958,0.000892082374207769
"210658_s_at",-1.66876417845205,6.4839018326466,3.12669757894649,0.00573848205637249,0.0739136391110684,-2.26955263677625,0.000310332767320126
"208259_x_at",-2.36553956363351,5.62463515698972,3.11696910400468,0.00586282020761256,0.0746521272492747,-2.28916824682486,0.00380902808885679
"201859_at",-1.53036119304922,8.4183168295542,-3.10447593564392,0.00602635125420651,0.0758160878671619,-2.31433459944268,0.000402953708213285
